(0, 3)
(1, 4)
(1, 11)
(1, 18)
(2, 5)
(2, 12)
(3, 6)
(4, 7)
(4, 14)
(4, 21)
(5, 8)
(5, 15)
(6, 9)
(7, 10)
(7, 17)
(7, 24)
(8, 11)
(8, 18)
(9, 12)
(10, 13)
(10, 20)
(10, 27)
(11, 14)
(11, 21)
(12, 15)
(13, 16)
(13, 23)
(13, 30)
(14, 17)
(14, 24)
(15, 18)
(16, 19)
(16, 26)
(16, 33)
(17, 20)
(17, 27)
(18, 21)
(19, 22)
(19, 29)
(19, 36)
(20, 23)
(20, 30)
(21, 24)
(22, 25)
(22, 32)
(22, 39)
(23, 26)
(23, 33)
(24, 27)
(25, 28)
(25, 35)
(25, 42)
(26, 29)
(26, 36)
(27, 30)
(28, 31)
(28, 38)
(28, 45)
(29, 32)
(29, 39)
(30, 33)
(31, 41)
(31, 48)
(32, 42)
